frequencey,magnitude,phase
0.01,-1.71457e-12,-3.6e-05
0.0125893,-2.71651e-12,-4.53213e-05
0.0158489,-4.30669e-12,-5.70562e-05
0.0199526,-6.82647e-12,-7.18294e-05
0.0251189,-1.08188e-11,-9.04279e-05
0.0316228,-1.71467e-11,-0.000113842
0.0398107,-2.71738e-11,-0.000143319
0.0501187,-4.30649e-11,-0.000180427
0.0630957,-6.8257e-11,-0.000227145
0.0794328,-1.08181e-10,-0.000285958
0.1,-1.71452e-10,-0.00036
0.125893,-2.71733e-10,-0.000453213
0.158489,-4.3067e-10,-0.000570562
0.199526,-6.82565e-10,-0.000718294
0.251189,-1.08179e-09,-0.000904279
0.316228,-1.71453e-09,-0.00113842
0.398107,-2.71734e-09,-0.00143319
0.501187,-4.30669e-09,-0.00180427
0.630957,-6.82565e-09,-0.00227145
0.794328,-1.08179e-08,-0.00285958
1,-1.71453e-08,-0.0036
1.25893,-2.71734e-08,-0.00453213
1.58489,-4.30669e-08,-0.00570562
1.99526,-6.82565e-08,-0.00718294
2.51189,-1.08179e-07,-0.00904279
3.16228,-1.71453e-07,-0.0113842
3.98107,-2.71734e-07,-0.0143319
5.01187,-4.30669e-07,-0.0180427
6.30957,-6.82565e-07,-0.0227145
7.94328,-1.08179e-06,-0.0285958
10,-1.71453e-06,-0.036
12.5893,-2.71734e-06,-0.0453213
15.8489,-4.30669e-06,-0.0570561
19.9526,-6.82564e-06,-0.0718294
25.1189,-1.08179e-05,-0.0904278
31.6228,-1.71452e-05,-0.113842
39.8107,-2.71733e-05,-0.143318
50.1187,-4.30667e-05,-0.180427
63.0957,-6.8256e-05,-0.227143
79.4328,-0.000108178,-0.285956
100,-0.000171449,-0.359995
125.893,-0.000271726,-0.453204
158.489,-0.000430648,-0.570543
199.526,-0.000682511,-0.718257
251.189,-0.00108166,-0.904204
316.228,-0.00171419,-1.13827
398.107,-0.00271649,-1.43289
501.187,-0.00430456,-1.80368
630.957,-0.00682029,-2.27026
794.328,-0.0108045,-2.85721
1000,-0.0171115,-3.59527
1258.93,-0.0270887,-4.52271
1584.89,-0.0428548,-5.68687
1995.26,-0.0677257,-7.14566
2511.89,-0.106854,-8.96881
3162.28,-0.168155,-11.2378
3981.07,-0.263572,-14.0437
5011.87,-0.41063,-17.4795
6309.57,-0.633958,-21.6255
7943.28,-0.965944,-26.5234
10000,-1.44507,-32.1419
