Frequency	Phase
0.001	-0.01008
0.00125893	-0.01269
0.00158489	-0.0159757
0.00199526	-0.0201122
0.00251189	-0.0253198
0.00316228	-0.0318758
0.00398107	-0.0401292
0.00501187	-0.0505197
0.00630957	-0.0636005
0.00794328	-0.0800682
0.01	-0.1008
0.0125893	-0.126899
0.0158489	-0.159757
0.0199526	-0.201122
0.0251189	-0.253197
0.0316228	-0.318754
0.0398107	-0.401285
0.0501187	-0.505184
0.0630957	-0.635979
0.0794328	-0.800631
0.1	-1.0079
0.125893	-1.26879
0.158489	-1.59716
0.199526	-2.0104
0.251189	-2.53034
0.316228	-3.18429
0.398107	-4.00638
0.501187	-5.03894
0.630957	-6.33412
0.794328	-7.95531
1	-9.97789
1.25893	-12.4884
1.58489	-15.58
1.99526	-19.3423
2.51189	-23.8413
3.16228	-29.0888
3.98107	-35.0069
5.01187	-41.4037
6.30957	-47.9853
7.94328	-54.413
10	-60.3856
12.5893	-65.7006
15.8489	-70.27
19.9526	-74.0988
25.1189	-77.2494
31.6228	-79.8101
39.8107	-81.8743
50.1187	-83.5296
63.0957	-84.8523
79.4328	-85.907
100	-86.7467
125.893	-87.4148
158.489	-87.946
199.526	-88.3682
251.189	-88.7037
316.228	-88.9702
398.107	-89.182
501.187	-89.3502
630.957	-89.4839
794.328	-89.59
1000	-89.6743
1258.93	-89.7413
1584.89	-89.7945
1995.26	-89.8368
2511.89	-89.8703
3162.28	-89.897
3981.07	-89.9182
5011.87	-89.935
6309.57	-89.9484
7943.28	-89.959
10000	-89.9674
12589.3	-89.9741
15848.9	-89.9795
19952.6	-89.9837
25118.9	-89.987
31622.8	-89.9897
39810.7	-89.9918
50118.7	-89.9935
63095.7	-89.9948
79432.8	-89.9959
100000	-89.9967
